Sinistra  Giù       Sinistra  Hai Vinto!Destra    
Sinistra  Sù        Hai Vinto!Sinistra  Destra    
Giù       Hai Vinto![Sinistra]	Hai Vinto!Sù        
Sù        Sù        Hai Vinto!Destra    Destra    
Sinistra  Sinistra  Hai Vinto!Giù       Sù        

WON!    DOWN    WON!    WON!    DOWN    
RIGHT   LEFT    RIGHT   LEFT    UP      
LEFT    DOWN    [WON!]	WON!    DOWN    
WON!    UP      WON!    UP      WON!    
LEFT    WON!    DOWN    LEFT    LEFT    

WON!    LEFT    RIGHT   WON!    DOWN    
WON!    [RIGHT]	LEFT    DOWN    RIGHT   
DOWN    RIGHT   DOWN    WON!    RIGHT   
RIGHT   UP      LEFT    WON!    UP      
WON!    UP      LEFT    UP      DOWN    

DOWN    UP      LEFT    UP      RIGHT   
WON!    DOWN    DOWN    WON!    DOWN    
RIGHT   DOWN    LEFT    UP      WON!    
RIGHT   UP      LEFT    UP      RIGHT   
RIGHT   DOWN    WON!    WON!    [RIGHT]

DOWN    WON!    DOWN    RIGHT   UP      
RIGHT   UP      LEFT    RIGHT   LEFT    
WON!    WON!    WON!    DOWN    RIGHT   
UP      DOWN    RIGHT   [LEFT]	UP      
UP      DOWN    LEFT    RIGHT   LEFT    

RIGHT   DOWN    DOWN    LEFT    UP      
RIGHT   LEFT    DOWN    LEFT    RIGHT   
RIGHT   UP      [RIGHT]	UP      LEFT    
UP      RIGHT   WON!    LEFT    LEFT    
UP      RIGHT   WON!    LEFT    RIGHT   

UP      UP      LEFT    UP      UP      
UP      RIGHT   RIGHT   UP      WON!    
WON!    WON!    [DOWN]	DOWN    LEFT    
DOWN    RIGHT   DOWN    UP      UP      
RIGHT   WON!    DOWN    DOWN    LEFT    

DOWN    LEFT    DOWN    LEFT    RIGHT   
UP      RIGHT   LEFT    WON!    RIGHT   
UP      RIGHT   [UP]	UP      LEFT    
LEFT    WON!    RIGHT   UP      UP      
UP      DOWN    RIGHT   DOWN    LEFT    

LEFT    DOWN    DOWN    WON!    UP      
DOWN    RIGHT   RIGHT   DOWN    RIGHT   
DOWN    DOWN    [UP]	DOWN    UP      
LEFT    RIGHT   UP      LEFT    RIGHT   
LEFT    LEFT    UP      DOWN    DOWN    

RIGHT   WON!    RIGHT   WON!    WON!    
WON!    DOWN    WON!    RIGHT   DOWN    
DOWN    DOWN    [RIGHT]	UP      DOWN    
WON!    RIGHT   DOWN    LEFT    WON!    
UP      DOWN    WON!    RIGHT   LEFT    

RIGHT   UP      LEFT    DOWN    LEFT    
DOWN    UP      WON!    RIGHT   LEFT    
LEFT    DOWN    [DOWN]	RIGHT   RIGHT   
UP      RIGHT   WON!    RIGHT   UP      
LEFT    UP      DOWN    DOWN    WON!    

